The Sky above   |  aasmaan  | 	samaA^'a  falako	|	The Sky<BR/> سَمٓاء <BR/>	- Essentially means height without limitation.<BR/>	- Purely linguistically, anything that is above another thing is a سَمٓاء and that which is below is أرض. This explains the usage in ayah 65:12<BR/>	- 65:12  ٱللَّهُ ٱلَّذِى خَلَقَ سَبْعَ سَمَٰوَٰتٍ وَمِنَ ٱلْأَرْضِ مِثْلَهُنَّ  <BR/>	- Where the sky is used for heights above, the word أرض is used for depths below. 7:176<BR/> 	- 7:176  وَلَوْ شِئْنَا لَرَفَعْنَٰهُ بِهَا وَلَٰكِنَّهُۥٓ أَخْلَدَ إِلَى ٱلْأَرْضِ  <BR/><BR/>	فلك <BR/> 	- Though commonly interpreted as the sky, it actually refers to the paths or orbits assigned to planets and stars<BR/> 	- These orbits are usually oval in shape and so the word is appropriate in that they resemble the shape of a ship الفُلْك !<BR/> 	- 36:40  وَكُلٌّ فِى فَلَكٍ يَسْبَحُونَ  <BR/>

To be afraid	|	darnaa	|	xaAfa  xa$iya  xa$aEa  Ait~aqaY  raAEa  Hi*or  Aawojasa  wajafa  wajala  rahaba  raEaba  Aa$ofaqa	|	


سَمَآءَ  فَلَكْ
خَافَ  خَشِيَ  خَشَعَ  اِتَّقَى  رَاعَ  حِذْر  اَوْجَسَ  وَجَفَ  وَجَلَ  رَهَبَ  رَعَبَ  اَشْفَقَ 



======================================
Meaning-English,Meaning-Urdu,Count,perfect,Imperfect,Imperative,Active-participle,Passive-participle,Verbal-noun,root,type,class
to not recognize; to deny,انكار كرنا,25,أَنْكَرَ, يُنْكِرُ, أَنْكِرْ, مُنْكِر, مُنْكَر, إِنْكَار ,ن ك ر ,4,أَسْلَمَ
to destroy,هلاك كرنا,58,أَهْلَكَ, يُهْلِكُ, أَهْلِكْ, مُهْلِك, مُهْلَك, إِهْلَاك,ه ل ك ,4,أَسْلَمَ
to complete,پورا كرنا,17,أَتَمَّ, يُتِمُّ, أَتْمِمْ, مُتِمّ, مُتَمّ, إِتْمَام,ت م م,4,أَسْلَمَ
to love,محبت كرنا,64,أَحَبَّ, يُحِبُّ, أَحْبِبْ, مُحِبّ, مُحَبّ, إِحْبَاب,ح ب ب,4,أَسْلَمَ
to make lawful; to cause to dwell,حلال كرنا، ركھوانا,21,أَحَلَّ, يُحِلُّ, أَحْلِلْ, مُحِلّ, مُحَلّ, إِحْلَال ,ح ل ل,4,أَسْلَمَ
to conceal; to speak secretly,چھپانا,18,أَسَرَّ, يُسِرُّ, أَسْرِرْ, مُسِرّ, مُسَرّ, إِسْرَار,س ر ر,4,أَسْلَمَ
to leave in error; to send astray,گمراه كرنا,68,أَضَلَّ, يُضِلُّ, أَضْلِلْ, مُضِلّ, مُضَلّ, إِضْلَال,ض ل ل,4,أَسْلَمَ
to prepare; to make st ready,تياري كرنا,20,أَعَدَّ, يُعِدُّ, أَعْدِدْ, مُعِدّ, مُعَدّ, إِعْدَاد,ع د د,4,أَسْلَمَ
to make sb taste,چكھانا,22,أَذَاقَ, يُذِيقُ, أَذِقْ, مُذِيق, مُذَاق, إِذَاقَة,ذ و ق ,4,أَسْلَمَ
to intend;  to wish,اراده كرنا,139,أَرَادَ, يُرِيدُ, أَرِدْ, مُرِيد, مُرَاد, إِرَادَة,ر و د ,4,أَسْلَمَ
to befall; to inflict,آپڑنا,65,أَصَابَ, يُصِيبُ, أَصِبْ, مُصِيب, مُصَاب, إِصَابَة,ص ي ب ,4,أَسْلَمَ
to obey,اطاعت كرنا,74,أَطَاعَ, يُطِيعُ, أَطِعْ, مُطِيع, مُطَاع, إِطَاعَة,ط وع ,4,أَسْلَمَ
to establish;  to set upright,كھڑا كرنا,67,أَقَامَ, يُقِيمُ, أَقِمْ, مُقِيم, مُقَام, إِقَامَة,ق و م ,4,أَسْلَمَ
to cause someone to die,موت دينا,21,أَمَاتَ, يُمِيتُ, أَمِتْ, مُمِيت, مُمَات, إِمَاتَة,م و ت ,4,أَسْلَمَ
to give life,زندگي دينا,53,أَحْيَا, يُحْيِي, أَحْيِ, مُحْيٍ, مُحْيَا, إِحْيَاء,ح ي ي,4,أَسْلَمَ
to conceal,چھپانا,18,أَخْفَى, يُخْفِي, أَخْفِ, مُخْفٍ, مُخْفَى, إِخْفَاء,خ ف ى,4,أَسْلَمَ
to show,دِكھانا,44,أَرَى, يُرِي, أَرِ, مُرٍ, مُرً, إِرَاءَ ة,ر أ ى,4,أَسْلَمَ
to enrich,كام آنا، غني كرنا,41,أَغْنَى, يُغْنِي, أَغْنِ, مُغْنٍ, مُغْنَى, إِغْنَاء,غ ن ى,4,أَسْلَمَ
to throw; to cast; to place,ڈالنا,71,أَلْقَى, يُلقِي, أَلْقِ, مُلقٍ, مُلقَى, إِلقَاء,ل ق ى,4,أَسْلَمَ
to rescue; to save; to deliver,نجات دينا,23,أَنْجَى, يُنْجِي, أَنْجِ, مُنْجٍ, مُنْجَى, إِنْجَاء,ن ج ى,4,أَسْلَمَ
to reveal;  to inspire,وحي كرنا,72,أَوْحَى, يُوحِي, أَوْحِ, مُوحٍ, مُوحَى, إِيحَاء,و ح ى,4,أَسْلَمَ
to fulfil,پورا كرنا,18,أَوْفَى, يُوفِي, أَوْفِ, مُوفٍ, مُوفَى, إِيفَاء,و ف ى,4,أَسْلَمَ
to believe,ايمان لانا,782,آمَنَ, يُؤْمِنُ, آمِنْ, مُؤْمِن, مُؤْمَن, إِيمَان,أ م ن ,4,أَسْلَمَ
to give,دينا,274,آ تَى, يُؤْتِي, آتِ, مُؤْتِي, مُؤْتَى, إِيتَاء,أ ت ى,4,أَسْلَمَ
to give trouble; to harm; to annoy,تكليف دينا,16,آذَى, يُؤْذِي, آذِ, مُؤْذِي, مُؤْذَى, إِيذَاء,أ ذ ى,4,أَسْلَمَ
to think over; to reflect,تفكر كرنا، غور كنا,17,تَفَكَّرَ, يَتَفَكَّرُ, تَفَكَّرْ, مُتَفَكِّر, مُتَفَكَّر, تَفَكُّر,ف ك ر,5,تَدَبَّرَ
to receive admonition; to remember,نصيحت پكڑنا,51,تَذَكَّرَ, يَتَذَكَّرُ, تَذَكَّرْ, مُتَذَكِّر, مُتَذَكَّر, تَذَكُّر,ذ ك ر,5,تَدَبَّرَ
to put one's trust,بھروسه كرنا,44,تَوَكَّلَ, يَتَوَكَّلُ, تَوَكَّلْ, مُتَوَكِّل, مُتَوَكَّل, تَوَكُّل,و ك ل,5,تَدَبَّرَ
to become clear,ظاهر هونا، واضح هونا,18,تَبَيَّنَ, يَتَبَيَّنُ, تَبَيَّنْ, مُتَبَيِّن, مُتَبَيَّن, تَبَيُّن,ب ي ن,5,تَدَبَّرَ
to wait & watch for opportunity,انتظار كرنا,17,تَرَبَّصَ, يَتَرَبَّصُ, تَرَبَّصْ, مُتَرَبِّص, مُتَرَبَّص, تَرَبُّص,ر ب ص,5,تَدَبَّرَ
to turn away; to take for friend,دوستي كرنا، منه موڑنا,79,تَوَلَّى, يَتَوَلَّى, تَوَلَّ, مُتَوَلٍّ, مُتَوَلَّى, تَوَلٍّ,و ل ي,5,تَدَبَّرَ
to make sb die; to receive in full,جان نكالنا,25,تَوَفَّى, يَتَوَفَّى, تَوَفَّ, مُتَوَفٍّ, مُتَوَفَّى, تَوَفٍّ,و ف ي,5,تَدَبَّرَ
to be blessed or exalted,با بركت هونا,9,تَبَارَكَ, يَتَبَارَكُ, تَبَارَكْ, مُتَبَارِك, -, تَبَارُك,ب ر ك,6,تَدَارَسَ
to ask each other,آپس ميں پوچھنا,9,تَسَاءَلَ, يَتَسَاءَلُ, تَسَاءَلْ, مُتَسَاءِل, مُتَسَاءَل, تَسَاءُل,س أ ل,6,تَدَارَسَ
to differ,اختلاف كرنا,52,اِخْتَلَفَ, يَخْتَلِفُ, اِخْتَلِفْ, مُخْتَلِف, مُخْتَلَف, اِخْتِلَاف,خ ل ف,7,اِخْتَلَفَ
to follow,پيروي كرنا، اتباع كرنا,140,اِتَّبَعَ, يَتَّبِعُ, اِتَّبِعْ, مُتَّبِع, مُتَّبَع, اِتِّبَاع,ت ب ع,7,اِخْتَلَفَ
to take; to adopt,اختيار كرنا,128,اِتَّخَذَ, يَتَّخِذُ, اِتَّخِذْ, مُتَّخِذ, مُتَّخَذ, اِتِّخَاذ,أ خ ذ,7,اِخْتَلَفَ
to be on guard; to protect,تقوي كرنا,215,اِتَّقَى, يَتَّقِي, اِتَّقِ, مُتَّقِي, -, اِتِّقَاء,و ق ي,7,اِخْتَلَفَ
to fabricate a lie,جھوٹ باندھنا,59,اِفْتَرَى, يَفْتَرِي, اِفْتَرِ, مُفْتَرٍ, -, اِفْتِرَاء,ف ر ي,7,اِخْتَلَفَ
to find or to follow the right path,هدايت پانا,61,اِهْتَدَى, يَهْتَدِي, اِهْتَدِ, مُهْتَدٍ, -, اِهْتِدَاء,ه د ي,7,اِخْتَلَفَ
to seek,چاهنا، تلاش كرنا,48,اِبْتَغَى, يَبْتَغِي, اِبْتَغِ, مُبْتَغٍ, مُبْتَغَى, اِبْتِغَاء,ب غ ي,7,اِخْتَلَفَ
to refrain; to end,چھوڑ دينا، رك جانا,16,اِنْتَهَى, يَنْتَهِي, اِنْتَهِ, مُنْتَهٍ, -, اِنْتِهَاء,ن ه ي,7,اِخْتَلَفَ
to turn around; to return,پھر جانا,20,اِنْقَلَبَ, يَنْقَلِبُ, اِنْقَلِبْ, مُنْقَلِب, -, اِنْقِلَاب,ق ل ب,8,اِنْقَلَبَ
to become white,سفيد هونا,3,اِبْيَضَّ, يَبْيَضُّ, اِبْيَضَّ, مُبْيَضٍّ, -, اِبْيِضَاض,ب ي ض,9,اِبْيَضَّ
to become black,كالا هونا,3,اِسْوَدَّ, يَسْوَدُّ, اِسْوَدَّ, مُسْوَدٍّ, -, اِسْوِدَاد,س و د,9,اِبْيَضَّ
to seek ss to hasten,جلدي كرنا,20,اِسْتَعْجَلَ, يَسْتَعْجِلُ, اِسْتَعْجِلْ, مُسْتَعْجِل,  -, اِسْتِعْجَال,ع ج ل,10,اِسْتَغْفَرَ
to ask forgiveness,بخشش مانگنا,42,اِسْتَغْفَرَ, يَسْتَغْفِرُ, اِسْتَغْفِرْ, مُسْتَغْفِر, مُسْتَغْفَر, اِسْتِغْفَار,غ ف ر,10,اِسْتَغْفَرَ
to act arrogantly,گھمنڈ كرنا,48,اِسْتَكْبَرَ, يَسْتَكْبِرُ, اِسْتَكْبِرْ, مُسْتَكْبِر, -, اِسْتِكْبَار,ك ب ر,10,اِسْتَغْفَرَ
to mock at,ٹھٹھا كرنا,23,اِسْتَهْزَأَ, يَسْتَهْزِئُ, اِسْتَهْزِئْ, مُسْتَهْزِئ, مُسْتَهْزَئ, اِسْتِهْزَاء,ه ز ء,10,اِسْتَغْفَرَ
to accept;  to respond,قبول كرنا,28,اِسْتَجَابَ, يَسْتَجِيب, اِسْتَجِبْ, مُسْتَجِيب, مُسْتَجَاب, اِسْتِجَابَة,ج و ب,10,اِسْتَغْفَرَ
to be able to,كرسكنا,42,اِسْتَطَاعَ, يَسْتَطِيعُ, اِسْتَطِعْ, مُسْتَطِيع, مُسْتَطَاع, اِسْتِطَاعَة,ط و ع,10,اِسْتَغْفَرَ
to be straight;  to act straight,ثابت قدم رهنا,47,اِسْتَقَامَ, يَسْتَقِيمُ, اِسْتَقِمْ, مُسْتَقِيم, -, اِسْتِقَامَة,ق و م,10,اِسْتَغْفَرَ


,,18121
,,0.232977629210594



======================================
mozilla/5.0 hp-tablet
Touchpad/1.0
wOSBrowser/234.40.1



======================================
The Sky<BR/> سَمٓاء <BR/>	- Essentially means height without limitation.<BR/>	- Purely linguistically, anything that is above another thing is a سَمٓاء and that which is below is أرض. This explains the usage in ayah 65:12<BR/>	- 65:12  ٱللَّهُ ٱلَّذِى خَلَقَ سَبْعَ سَمَٰوَٰتٍ وَمِنَ ٱلْأَرْضِ مِثْلَهُنَّ  <BR/>	- Where the sky is used for heights above, the word أرض is used for depths below. 7:176<BR/> 	- 7:176  وَلَوْ شِئْنَا لَرَفَعْنَٰهُ بِهَا وَلَٰكِنَّهُۥٓ أَخْلَدَ إِلَى ٱلْأَرْضِ  <BR/><BR/>	فلك <BR/> 	- Though commonly interpreted as the sky, it actually refers to the paths or orbits assigned to planets and stars<BR/> 	- These orbits are usually oval in shape and so the word is appropriate in that they resemble the shape of a ship الفُلْك !<BR/> 	- 36:40  وَكُلٌّ فِى فَلَكٍ يَسْبَحُونَ  <BR/>
	

======================================
The Sky<BR/>
سَمٓاء <BR/>
	- Essentially means height without limitation.<BR/>
	- Purely linguistically, anything that is above another thing is a سَمٓاء and that which is below is أرض. This explains the usage in ayah 65:12<BR/>
	- 65:12  ٱللَّهُ ٱلَّذِى خَلَقَ سَبْعَ سَمَٰوَٰتٍ وَمِنَ ٱلْأَرْضِ مِثْلَهُنَّ  <BR/>
	- Where the sky is used for heights above, the word أرض is used for depths below. 7:176<BR/>
	- 7:176  وَلَوْ شِئْنَا لَرَفَعْنَٰهُ بِهَا وَلَٰكِنَّهُۥٓ أَخْلَدَ إِلَى ٱلْأَرْضِ  <BR/>
<BR/>	
فلك <BR/>
	- Though commonly interpreted as the sky, it actually refers to the paths or orbits assigned to planets and stars<BR/>
	- These orbits are usually oval in shape and so the word is appropriate in that they resemble the shape of a ship الفُلْك !<BR/>
	- 36:40  وَكُلٌّ فِى فَلَكٍ يَسْبَحُونَ  <BR/>
	

-===----------------============-------------==============----------

Antonyms:

Letter BAA:

Bi's (bura [disliked]) - Ni3m
Ba'saa' (sirraa'?)

Badaa:
-(Dhaahir howna [ghaab khfy])
-HaDr

Biyy:
- (khushky?) - bHw?

Bawaza - (???) - bawiHa

abram - naQD

BasaTa - qadr qabD

Bashr (human) - malak (angel)

Bashiyr - (giver of good news) - Nadhiyr (giver of scary news)


BughD (extreme hatred) - Hubb (Love)

BaTala (barbaad hona) - Haqq (truth)

BaaTil (wrong) - Haqq

BaTana - Dhahara

BaaTin - Dhaahir

ba3d - Qabl
ba3ada - qarb

ba3eed - Qareeb

Ba'D - kullu

Biqaa (b-q-y) - baaqiu rehnaa - fee Nafd

Bikr (kanwaarah/kanwaari) - thayyib

BayDaa' (white) - sawdaa'
aByaD - aswad


LETTER taa (two dots):

taHt (under) - fawq





=====================attributes
71-75 is here..
---
71
Al-Barr
The Kind
Page#145
occurs 1 time in quran.
Ref: 2:224, 80:13-16, 60:8, 52:28
opposites: 76:4-5, 58:9, 82:13-14, 19:12-14, 19:32


72
At-Tawwab
The Acceptor of repentance
Page# 148
Occurs 11 times in quran.
Ref: 20:82, 4:145-146, 25:69-71, 4:17-18, 9:104, 2:37. 11:52 
related: 9:117, 11:90, 24:10
opposites: 3:128, 
summery: 25:69-71, 4:17-18, 9:104, 39:52

73
Al-Muntaqim
One Who inflicts retribution
Page#151
Occurs 4 times in quran.
Ref: 5-59, 85-8,43-55, 15:78-79, 43:24-25, 3:4


74
Al-Afuww
One Who pardons
Page#152
Occurs 5 times in quran.
Ref: 42-25, 5:95, 2-219
Related: 2:237, 42:40, 2:286, 64:14, 4:149
Opposite: 9:66, 42:34
Summery: 25:70, 2:286

75
Ar-Raoof
Page# 154
One full of pity for others
Occurs 10 times in quran.
Ref: 24:2, 2:143, 9:117, 9:128, 57:9, 22:65, 16:45-47,    
Related: Associated with Rahim 9 times
Opposite: 16:7, 59:10 
---------





Synonyms

EafaA
عَفَا
AaSofaHa
اَصْفَحَ
gafara
غَفَرَ
taSad~aqa
تَصَدَّقَ
tajaAwaza
تَجَاوَزَ
kaf~ara
كَفَّرَ
HiT~apN
حِطَّةٌ


<ila`h
إِلَٰه
{ll~ah
ٱللَّه
{ll~ahum~a
 ٱللَّهُمَّ 

 r~aHoma`n
 r~aHiym --> raHiym
 ra'uwf
 laTiyf
 Han~aAno
  naASir naSiyr
  AaloAanoSaAro
   HawaAriy
   waliY~ mawolaY`
   $ahiyd
   Zahiyr
   waziyr
   EaDud
